"Iteration","Statistics Report 1 Monitor: Statistics Report 1 Monitor"
1.0,27.48373866812421
2.0,21.830173465223858
3.0,14.942175999132344
4.0,11.126916053478253
5.0,8.793793173248465
6.0,7.274375829644822
7.0,6.224815323801296
8.0,5.482329202577439
9.0,4.9350654947209875
10.0,4.504054265787795
11.0,4.1615475622301945
12.0,3.8807307066831522
13.0,3.6460481959043474
14.0,3.44573180832678
15.0,3.271447838697345
16.0,3.1171726231284906
17.0,2.9791497325506247
18.0,2.85495755118535
19.0,2.742854104128087
20.0,2.6415261883991357
21.0,2.549379501764043
22.0,2.465195098456279
23.0,2.388063008753965
24.0,2.317231629607227
25.0,2.25199820517666
26.0,2.1917499505697964
27.0,2.136002170103325
28.0,2.08426291180872
29.0,2.036060338517271
30.0,1.9909484000639273
31.0,1.9486037140020558
32.0,1.9087642401960874
33.0,1.8711772682556362
34.0,1.8356027854805834
35.0,1.8018811197383335
36.0,1.769827869121759
37.0,1.7393431622358313
38.0,1.7103481134912755
39.0,1.6827982529288186
40.0,1.6566236284507574
41.0,1.6317643508351902
42.0,1.6081269600804464
43.0,1.5855991133614253
44.0,1.564064543625175
45.0,1.5434215528039101
46.0,1.5235825022910208
47.0,1.5044929413908847
48.0,1.486127997705102
49.0,1.468459604513968
50.0,1.4514666489010912
51.0,1.4351325434610993
52.0,1.4194312539751726
53.0,1.4043293243319008
54.0,1.3897939386062335
55.0,1.3757801327137706
56.0,1.3622527871928634
57.0,1.3491708410130105
58.0,1.3365094266235416
59.0,1.3242417693798763
60.0,1.3123508759720874
61.0,1.3008197840042415
62.0,1.2896305171666338
63.0,1.2787703354583202
64.0,1.268223186457201
65.0,1.2579782697351265
66.0,1.2480203805958114
67.0,1.2383461173487746
68.0,1.228951975108627
69.0,1.2198323666297797
70.0,1.2109829093592024
71.0,1.2023930881049358
72.0,1.1940492209646012
73.0,1.1859356076927685
74.0,1.1780372941020425
75.0,1.1703360861269283
76.0,1.1628241899170337
77.0,1.1554911044759901
78.0,1.148326456934554
79.0,1.1413228824968409
80.0,1.1344722586281604
81.0,1.1277699455014003
82.0,1.12121156547576
83.0,1.1147965211437838
84.0,1.1085194165019776
85.0,1.1023798404749723
86.0,1.0963787208843936
87.0,1.0905142486397996
88.0,1.0847857937438763
89.0,1.0791922725662098
90.0,1.07372867866015
91.0,1.068391601774515
92.0,1.0631699052174057
93.0,1.0580568571624591
94.0,1.05304545669257
95.0,1.0481281170756547
96.0,1.0433002729957794
97.0,1.038556708277002
98.0,1.0338943146969706
99.0,1.0293074888377953
100.0,1.0247958481527242
101.0,1.0203551527884245
102.0,1.0159842802376342
103.0,1.0116798726586362
104.0,1.007440305655813
105.0,1.0032646131227247
106.0,0.9991528569999115
107.0,0.9951021681939409
108.0,0.9911121086215433
109.0,0.9871821915933177
110.0,0.983310525624843
111.0,0.9794955980808496
112.0,0.9757364808798629
113.0,0.9720317153455227
114.0,0.9683799203246989
115.0,0.9647811078713737
116.0,0.9612326731023098
117.0,0.957733749575155
118.0,0.9542829366701152
119.0,0.9508788693681762
120.0,0.9475198050016789
121.0,0.944204677701515
122.0,0.9409332199077122
123.0,0.9377057775542906
124.0,0.9345219325304668
125.0,0.9313807471314587
126.0,0.9282817237451858
127.0,0.9252247946672303
128.0,0.9222080981919571
129.0,0.9192303636533243
130.0,0.9162900779176344
131.0,0.9133849728353048
132.0,0.9105147724137841
133.0,0.9076780819643943
134.0,0.9048741938989832
135.0,0.9021020130490005
136.0,0.8993609140444176
137.0,0.8966504487442363
138.0,0.8939703583203545
139.0,0.8913205700080669
140.0,0.8887015902995821
141.0,0.8861113587232119
142.0,0.8835492127544562
143.0,0.8810138421998345
144.0,0.8785044154261645
145.0,0.8760201226273077
146.0,0.8735600568467342
147.0,0.8711232165198426
148.0,0.8687086049816994
149.0,0.8663154437776063
150.0,0.86394354014728
151.0,0.8615915583691717
152.0,0.8592594558635224
153.0,0.8569450764812816
154.0,0.8546485221714635
155.0,0.852368366133101
156.0,0.8501050695181791
157.0,0.847861170482187
158.0,0.8456382390293735
159.0,0.8434392439941995
160.0,0.8412649175076556
161.0,0.8391154354170767
162.0,0.8369912564362629
163.0,0.8348906601804172
164.0,0.8328125834288872
165.0,0.8307556897164308
166.0,0.8287193588963528
167.0,0.8267021699839492
168.0,0.8247025826931227
169.0,0.8227194230604874
170.0,0.8207535711449683
171.0,0.8188058259659132
172.0,0.8168771733126065
173.0,0.8149693072527402
174.0,0.8130814925517137
175.0,0.8112139055687594
176.0,0.8093664016548844
177.0,0.8075394784012063
178.0,0.8057329389781388
179.0,0.8039460461314614
180.0,0.8021791239313457
181.0,0.8004320148469503
182.0,0.7987040816503005
183.0,0.7969941697844887
184.0,0.7953030350871656
185.0,0.7936309641371493
186.0,0.7919782393365857
187.0,0.7903448535561016
188.0,0.7887318121710327
189.0,0.787139825079868
190.0,0.7855691293798488
191.0,0.7840200680267835
192.0,0.7824925830552248
193.0,0.7809862972335527
194.0,0.7795009272341511
195.0,0.7780368567734769
196.0,0.7765924973669647
197.0,0.7751669767341887
198.0,0.773759517184705
199.0,0.7723695995283161
200.0,0.7709957261808955
201.0,0.769636731200163
202.0,0.7682915166329191
203.0,0.7669592432326175
204.0,0.765639032148362
205.0,0.764330928372857
206.0,0.7630337805613664
207.0,0.7617477541373308
208.0,0.7604720133821886
209.0,0.7592061446776691
210.0,0.757949855058928
211.0,0.7567022802773846
212.0,0.7554638282749088
213.0,0.7542346676520584
214.0,0.7530153182007336
215.0,0.7518057752097848
216.0,0.7506056926362169
